Time=270000 | clk=0 | rf_portA=0111100010111111 | rf_portB=1010010111011000 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0111100010111111 | opnY=1010010111011000
Time=275000 | clk=1 | rf_portA=0111100010111111 | rf_portB=1010010111011000 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0111100010111111 | opnY=1010010111011000
Time=280000 | clk=0 | rf_portA=0000010100100100 | rf_portB=0001011001010011 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0000010100100100 | opnY=0001011001010011
Time=285000 | clk=1 | rf_portA=0000010100100100 | rf_portB=0001011001010011 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0000010100100100 | opnY=0001011001010011
Time=290000 | clk=0 | rf_portA=0110001010100011 | rf_portB=1101000011100111 | net_stream=0 | confSig=001 | confLoad=0 * opnX=0110001010100011 | opnY=1101000011100111
Time=295000 | clk=1 | rf_portA=0110001010100011 | rf_portB=1101000011100111 | net_stream=0 | confSig=001 | confLoad=0 * opnX=0110001010100011 | opnY=1101000011100111
Time=300000 | clk=0 | rf_portA=1101110000111110 | rf_portB=0101101011101001 | net_stream=0 | confSig=010 | confLoad=0 * opnX=1101110000111110 | opnY=0101101011101001
Time=305000 | clk=1 | rf_portA=1101110000111110 | rf_portB=0101101011101001 | net_stream=0 | confSig=010 | confLoad=0 * opnX=1101110000111110 | opnY=0101101011101001
Time=310000 | clk=0 | rf_portA=1100001110100011 | rf_portB=1100101111111110 | net_stream=0 | confSig=111 | confLoad=0 * opnX=1100001110100011 | opnY=1100101111111110
Time=315000 | clk=1 | rf_portA=1100001110100011 | rf_portB=1100101111111110 | net_stream=0 | confSig=111 | confLoad=0 * opnX=1100001110100011 | opnY=1100101111111110
Time=320000 | clk=0 | rf_portA=0000101000001001 | rf_portB=0101010000111000 | net_stream=0 | confSig=110 | confLoad=0 * opnX=0000101000001001 | opnY=0101010000111000
Time=325000 | clk=1 | rf_portA=0000101000001001 | rf_portB=0101010000111000 | net_stream=0 | confSig=110 | confLoad=0 * opnX=0000101000001001 | opnY=0101010000111000
Time=330000 | clk=0 | rf_portA=1010110000110111 | rf_portB=1011111000111010 | net_stream=0 | confSig=010 | confLoad=0 * opnX=1010110000110111 | opnY=1011111000111010
Time=335000 | clk=1 | rf_portA=1010110000110111 | rf_portB=1011111000111010 | net_stream=0 | confSig=010 | confLoad=0 * opnX=1010110000110111 | opnY=1011111000111010
Time=340000 | clk=0 | rf_portA=0001010100000011 | rf_portB=1101110100101111 | net_stream=0 | confSig=001 | confLoad=0 * opnX=0001010100000011 | opnY=1101110100101111
Time=345000 | clk=1 | rf_portA=0001010100000011 | rf_portB=1101110100101111 | net_stream=0 | confSig=001 | confLoad=0 * opnX=0001010100000011 | opnY=1101110100101111
Time=350000 | clk=0 | rf_portA=1010000001111101 | rf_portB=0011101001100000 | net_stream=0 | confSig=101 | confLoad=0 * opnX=1010000001111101 | opnY=0011101001100000
Time=355000 | clk=1 | rf_portA=1010000001111101 | rf_portB=0011101001100000 | net_stream=0 | confSig=101 | confLoad=0 * opnX=1010000001111101 | opnY=0011101001100000
Time=360000 | clk=0 | rf_portA=0101001011100111 | rf_portB=1101011000101001 | net_stream=0 | confSig=100 | confLoad=0 * opnX=0101001011100111 | opnY=1101011000101001
Time=365000 | clk=1 | rf_portA=0101001011100111 | rf_portB=1101011000101001 | net_stream=0 | confSig=100 | confLoad=0 * opnX=0101001011100111 | opnY=1101011000101001
Time=370000 | clk=0 | rf_portA=1100001000101001 | rf_portB=1011100010101110 | net_stream=0 | confSig=000 | confLoad=0 * opnX=1100001000101001 | opnY=1011100010101110
Time=375000 | clk=1 | rf_portA=1100001000101001 | rf_portB=1011100010101110 | net_stream=0 | confSig=000 | confLoad=0 * opnX=1100001000101001 | opnY=1011100010101110
Time=380000 | clk=0 | rf_portA=1110011110100011 | rf_portB=0001110000111011 | net_stream=0 | confSig=001 | confLoad=0 * opnX=1110011110100011 | opnY=0001110000111011
