time=55.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=56.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=57.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=58.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=59.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=60.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=61.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=62.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=63.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=64.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=65.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=66.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=67.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=68.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=69.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=70.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
